Entity,Label
Bandidos,person
Tiradentes,location
bairro,location
Itaborai,location
polícia,organization
local,location
menores,person
casa,location
casa,location
rua,location
Tiradentes,location
bairro,location
Itaborai,location
Meliantes,person
moradores,person
Oi,organization
responsável,person
cara,person
responsável,person
cara,person
morro,location
bairro,location
centro,location
TCP,organization
esquina,location
rua,location
rua,location
Alfredo,person
ruas,location
ruas,location
Alfredo,person
Almerio,person
bandidos,person
policiais,person
GAT,organization
Dimas,person
contador,person
quadrilha,person
traficante,person
rua,location
casa,location
rua,location
periquito,person
moradores,person
bandidos,person
ruas,location
Alfredo,person
Antônio,person
polícia,organization
milícia,person
bairro,location
Droga,person
homens,person
local,location
casas,location
bairro,location
praça,location
rapaz,person
Vanderson,person
Vandinho,person
rapaz,person
Vanderson,person
filho,person
miliciano,person
Dimir,person
pessoas,person
miliciano,person
moradores,person
alguém,person
filho,person
Dimir,person
filho,person
avenida,location
Dimir,person
Vanderson,person
esquina,location
casa,location
indivíduos,person
ninguém,person
moradores,person
pessoas,person
PM,organization
todos,person
ninguém,person
responsáveis,person
policiais,person
responsável,person
pessoas,person
rua,location
lugar,location
parque,location
Fornecedor,person
jovens,person
casa,location
casa,location
pessoa,person
polícia,organization
casa,location
local,location
rua,location
moradores,person
fugitivo,person
autores,person
ajudante,person
autores,person
cidadão,person
bairro,location
Conjunto,location
Facebook,organization
fugitivo,person
Facebook,organization
ajudante,person
Maiara,person
bairro,location
Conjunto,location
Facebook,organization
ajudante,person
Facebook,organization
Bairros,location
Imbariê,location
Piabetá,location
Piabetá,location
DP,organization
homens,person
Madame,person
rua,location
Petrópolis,location
polícia,organization
policiais,person
local,location
homens,person
local,location
ilícitos,person
YouTube,organization
Facebook,organization
Indivíduo,person
Bandidos,person
bairro,location
outrora,person
rua,location
polícia,organization
estação,location
centro,location
local,location
marginais,person
ramal,location
HOMENS,person
Homens,person
meliantes,person
Homens,person
ilha,location
governador,person
ilha,location
governador,person
condomínio,location
Maconha,location
cabine,location
polícia,organization
policial,person
Méier,location
meliantes,person
comunidade,location
Méier,location
Grajaú,location
indivíduos,person
local,location
Palmeirinha,location
criminosos,person
comunidade,person
Palmeirinha,location
rivais,person
Guadalupe,location
rivais,person
comunidade,location
traficantes,person
comunidade,location
rivais,person
Palmeirinha,location
territórios,location
rivais,person
ADA,organization
traficantes,person
TCP,organization
Palmeirinha,location
traficantes,person
comunidade,person
facção,organization
líderes,person
soldados,person
comunidade,person
comunidade,person
líder,person
Palmeirinha,location
crias,person
comunidade,person
bandido,person
comparsas,person
comparsas,person
bandido,person
Juninho,person
Palmeirinha,location
facção,organization
comunidade,location
comunidade,person
comunidade,person
bandidos,person
condomínio,location
moradores,person
Indivíduo,person
PAI,organization
pessoas,person
sr,person
Alan,person
RJ,organization
rodoviária,location
Petrópolis,location
transeuntes,person
Marcelo,person
casa,location
pessoa,person
meliantes,person
presos,person
pessoas,person
casa,location
rua,location
ladroes,person
presos,person
presos,person
rapaz,person
Homens,person
CASA,location
AREA,location
LOCAL,location
criancas,person
Travessa,location
bandido,person
corredores,person
vagabundos,person
escola,organization
mulheres,person
Lapa,location
nenhum,person
ilícitos,person
YouTube,organization
Facebook,organization
Indivíduo,person
Traficantes,person
jardim,location
Catarina,location
população,person
ruas,location
organizadoras,person
traficante,person
ruas,location
ruas,location
prefeitura,organization
ruas,location
bacia,location
moradores,person
área,location
traficantes,person
moradores,person
ruas,location
autoridades,person
menores,person
crianças,person
organizadores,person
local,location
escola,organization
rua,location
ruas,location
bandidos,person
moradores,person
esquina,location
rua,location
casa,location
rua,location
rua,location
policia,organization
dono,person
casa,location
rua,location
moradores,person
bairro,location
criancas,person
idosos,person
lugar,location
Menores,person
traficante,person
cidade,location
apartamento,location
cômodos,location
apartamento,location
moradores,person
polícia,organization
pessoas,person
ruas,location
menina,person
Ruby,person
traficantes,person
favelas,location
pai,person
filha,person
grandões,person
traficante,person
traficante,person
comunidade,location
traficante,person
traficante,person
lugares,location
traficante,person
rua,location
esquina,location
campo,location
indivíduos,person
cidade,location
jovens,person
delinquentes,person
adultos,person
adolescentes,person
apartamento,location
Inquilino,person
ilícitos,person
YouTube,organization
Facebook,organization
Whatsapp,organization
pais,person
Bandidos,person
Traficantes,person
casas,location
Sono,location
vizinhos,person
ULTIMA,organization
Individuo,person
Antigo,location
morro,location
casa,location
Maracana,location
indivíduo,person
Antigo,location
morro,location
casa,location
Tijuca,location
Av,location
Maracana,location
Tijuca,location
Sono,location
Art,organization
Art,organization
alguém,person
vítima,person
Art,organization
policial,person
Everson,person
rua,location
bairro,location
Leandro,person
morador,person
localidade,location
Leandro,person
Everson,person
bairro,location
política,organization
Twitter,organization
área,location
autoridades,person
favela,location
favela,location
meninas,person
Bandidos,person
comunidade,location
polícia,organization
comunidade,location
polícia,organization
rua,location
comandante,person
rua,location
Deodoro,person
rua,location
bandido,person
wesley,person
ilícitos,person
YouTube,organization
Facebook,organization
Indivíduo,person
Jovens,person
rua,location
polícia,organization
morro,location
matagal,person
hospital,organization
local,location
local,location
homem,person
Jorge,person
detento,person
bairro,location
Polícia,organization
casa,location
moradores,person
menores,person
Jorge,person
comunidade,person
cidade,location
menores,person
grupo,person
vizinho,person
casa,location
homens,person
quintal,location
casa,location
quintal,location
policiais,person
casa,location
Rafael,person
polícia,organization
polícia,organization
Rafael,person
cidade,location
pais,person
policiais,person
residência,location
pessoas,person
local,location
meninas,person
Rafael,person
casa,location
casa,location
bandidos,person
cidade,location
menores,person
bandidos,person
filho,person
irmão,person
policiais,person
rua,location
local,location
bar,location
local,location
cliente,person
namorada,person
FAL,organization
Deus,person
comunidade,person
Mangueirinha,location
bairro,location
Gonçalo,person
Deus,person
Bandido,person
PL,organization
Deus,person
comunidade,person
Deus,person
comunidade,person
Mangueirinha,location
rua,location
localidade,location
traficantes,person
Traficantes,person
estudantes,person
polícia,organization
bairro,location
Marica,location
sal,location
Bibi,person
todos,person
polícia,organization
facebook,organization
Morro,location
rua,location
padre,person
bairro,location
rua,location
rua,location
bandidos,person
moradores,person
Estado,organization
casas,location
moradores,person
traficantes,person
favela,location
favela,location
polícia,organization
favela,location
traficantes,person
rua,location
bairro,location
ruas,location
Dpo,organization
menina,person
avião,location
avião,location
moradores,person
rua,location
favela,location
rua,location
polícia,organization
local,location
usuários,person
policia,organization
João,person
rua,location
cama,location
policia,organization
policias,person
matheus,person
matheus,person
portão,location
colégio,organization
professor,person
marginais,person
colégio,organization
pais,person
alunos,person
aluno,person
Ruan,person
colégio,organization
menino,person
rua,location
filho,person
mulher,person
Tita,person
Cristiane,person
usuária,person
Homens,person
meliantes,person
traficantes,person
menores,person
facebook,organization
pessoas,person
local,location
Traficantes,person
CV,organization
rua,location
esquina,location
Farias,person
pedestres,person
Jovens,person
rua,location
rua,location
condomínio,location
estacionamento,location
condômino,person
praia,location
pivetes,person
passageiros,person
pessoas,person
rua,location
rua,location
senhor,person
pessoas,person
galpão,location
empresa,organization
galpão,location
lugar,location
ninguém,person
local,location
quadrilhas,person
local,location
traficantes,person
famílias,person
rua,location
criminosos,person
Rua,location
Estrada,location
Lago,location
Deus,person
Policia,organization
Rua,location
jovens,person
Policia,organization
ninguém,person
Deus,person
Policia,organization
Deus,person
Deus,person
Rua,location
Taurus,location
Lago,location
Estrada,location
Rua,location
Rua,location
Rua,location
Taurus,location
traficante,person
presídio,location
traficantes,person
morro,location
Cantagalo,location
chef,person
local,location
vendedor,person
mãe,person
filha,person
facebook,organization
esposa,person
mãe,person
filha,person
compradores,person
Detran,organization
motorista,person
residência,location
pais,person
condomínio,location
casa,location
senador,person
senador,person
traficantes,person
bar,location
rua,location
esquina,location
moradores,person
esquina,location
moradores,person
área,location
facções,organization
polícia,organization
traficantes,person
polícia,organization
rua,location
Barroso,person
rua,location
policiais,person
moradores,person
amigo,person
bairro,location
bar,location
campo,location
bar,location
borracharia,location
homem,person
Herbert,person
traficante,person
Rio,location
companheira,person
Traficantes,person
Morro,location
bairro,location
Centro,location
Flamengo,organization
Diego,person
traficante,person
área,location
Rodrigo,person
irmão,person
Reinaldo,person
Fuzil,organization
pm,person
Rogério,person
Rogerinho,person
traficante,person
filho,person
traficante,person
chumbinho,person
homem,person
polícia,organization
urubus,person
traficantes,person
pessoas,person
homens,person
motorista,person
pessoas,person
bairros,location
bairro,location
terreno,location
casa,location
local,location
atendentes,person
delegacia,location
policia,organization
local,location
terreno,location
casa,location
vila,location
terreno,location
rua,location
rua,location
rua,location
costa,location
rua,location
casa,location
vila,location
casas,location
casa,location
terreno,location
vila,location
Ligue,organization
menores,person
moradores,person
Rainha,location
rua,location
casa,location
pessoas,person
crianças,person
praça,location
bairro,location
rua,location
esquina,location
marginais,person
moradores,person
residências,location
senhor,person
PM,organization
casa,location
família,person
casas,location
traficantes,person
traficantes,person
senador,person
bairro,location
traficantes,person
bairro,location
bairro,location
pessoas,person
lideres,person
juliano,person
gero,person
Erick,person
soldado,person
chefe,person
local,location
Curitiba,location
rua,location
Local,location
hostel,location
Copacabana,location
Niterói,location
chefes,person
Ruan,person
morador,person
rua,location
centro,location
quintal,location
mãe,person
Cristiane,person
senhoria,person
Alvina,person
mulher,person
Cristiane,person
homem,person
vizinhos,person
senhores,person
responsáveis,person
dentista,person
Itanhangá,location
Traficantes,person
comunidade,person
traficante,person
Gordão,person
VK,organization
localidade,location
morro,location
Banco,organization
local,location
Ford,organization
Niterói,location
rua,location
casa,location
casa,location
rua,location
crianças,person
local,location
jovem,person
Aline,person
Carol,person
Mãe,person
filha,person
terreno,location
rua,location
casa,location
traficantes,person
loja,organization
rua,location
travessa,location
reta,location
Deodoro,location
esquina,location
travessa,location
padaria,location
mototaxistas,person
bandidos,person
Pato,person
Homens,person
policial,person
morro,location
jardim,location
Mara,person
Usuários,person
prédio,location
bairro,location
Homem,person
rua,location
cara,person
Jovens,person
esquina,location
Pena,person
comunidade,location
polícia,organization
matagal,location
casas,location
rua,location
praça,location
polícia,organization
local,location
praia,location
fazenda,location
rua,location
casa,location
bandidos,person
comandante,person
marechal,location
bandidos,person
rua,location
marechal,location
responsável,person
bandidos,person
bar,location
Google,organization
esquina,location
bairro,location
bar,location
indivíduos,person
bar,location
indivíduos,person
local,location
pessoas,person
polícia,organization
colégio,organization
indivihos,person
policia,organization
local,location
crianças,person
ninguem,person
valmir,person
comunidade,person
gulf,location
freguesia,location
morador,person
Rua,location
traficantes,person
moradores,person
localidade,location
meliantes,person
adolescente,person
crianças,person
moradores,person
Rua,location
filhos,person
moradores,person
localidade,location
Rua,location
mandante,person
menina,person
rua,location
mandante,person
menina,person
menores,person
professora,person
rua,location
policia,organization
Brigou,person
filha,person
vizinho,person
casa,location
Bandidos,person
polícia,organization
Fiat,organization
gerente,person
Armando,person
bar,location
rua,location
pessoas,person
polícia,organization
moradores,person
rua,location
pessoas,person
polícia,organization
rua,location
condominio,location
cidadão,person
fã,person
pessoas,person
local,location
floresta,location
rua,location
vagabundo,person
motoqueiros,person
praça,location
marginais,person
fábrica,location
adolescentes,person
condominio,location
policial,person
campo,location
CDD,organization
bandidos,person
cachorro,person
Fox,organization
morador,person
area,location
Traficantes,person
rua,location
populaçao,person
Moro,person
traficantes,person
rua,location
igreja,organization
empresa,organization
traficantes,person
Bandidos,person
RJ,location
CENTRO,location
Rua,location
prefeitura,organization
outros,person
CENTRO,location
pessoa,person
Galeão,location
empresa,organization
rio,location
diretor,person
empresa,organization
rapaz,person
pessoas,person
bairro,location
ipiranga,location
homem,person
cidadã,person
moradores,person
vila,location
vila,location
ruas,location
vizinhos,person
vila,location
igreja,location
vizinhos,person
vizinhos,person
moradores,person
vila,location
ruas,location
moradores,person
amigos,person
mulher,person
área,location
vila,location
local,location
pessoa,person
polícia,organization
residência,location
testemunhas,person
morro,location
Bayer,organization
vila,location
vila,location
amigos,person
traficante,person
rua,location
ponte,location
rua,location
pontal,location
mar,location
traficante,person
morador,person
ponte,location
Cleyton,person
local,location
polícia,organization
rua,location
praia,location
traficante,person
rua,location
usuarios,person
rua,location
bairro,location
Rio,location
condomínio,location
dono,person
policial,person
região,location
estabelecimento,location
policial,person
ninguém,person
local,location
município,location
Nilópolis,location
rua,location
esquina,location
rua,location
Fiat,organization
Niterói,location
traficantes,person
rua,location
moradores,person
crianças,person
bandidos,person
casa,location
rua,location
responsável,person
policial,person
rua,location
comédias,person
moradores,person
polícia,organization
município,location
bairro,location
rua,location
gerente,person
Pierre,person
calçada,location
terceiros,person
estacionamento,location
morador,person
militar,person
local,location
comerciantes,person
centro,location
Homens,person
traficantes,person
rua,location
residências,location
rua,location
Homens,person
Boca,organization
esquina,location
Jovens,person
rua,location
ruas,location
polícia,organization
rua,location
moradores,person
Meliante,person
região,location
méyer,person
Comandante,person
Delegado,person
pedófilo,person
psicopata,person
familia,person
Coronel,person
Policiais,person
militares,person
civis,person
DECIDIRAM,person
DECIDIRAM,person
FAMÍLIA,location
FAMÍLIA,location
DECIDIRAM,person
comunidade,location
casa,location
chefão,person
bandidos,person
Av,location
rio,location
Bandidos,person
favela,location
travessa,location
policial,person
travessa,location
comunidade,person
advogado,person
MP,organization
praça,location
McDonalds,organization
praia,location
local,location
praça,location
famílias,person
crianças,person
galerias,location
pavilhão,location
presídio,location
banco,organization
apartamento,location
casa,location
rua,location
rua,location
esquina,location
funcionários,person
prefeitura,organization
pessoas,person
local,location
localidade,location
Cajueiros,organization
Fallet,location
favela,location
traficantes,person
colégio,organization
polícia,organization
bar,location
rua,location
loja,organization
senhora,person
Fátima,person
Jorge,person
RJ,location
igreja,location
DP,organization
Saquarema,organization
centro,location
município,location
casa,location
calçadão,location
vila,location
