Entity,Label
rua,location
bandidos,person
homem,person
Pessoas,person
região,location
Pessoas,person
região,location
rapaz,person
Hugo,person
traficante,person
rua,location
Leblon,location
polícia,organization
favela,location
moradores,person
morador,person
casa,location
favela,location
duque,person
Deus,person
mulher,person
Fabiana,person
marido,person
Bangu,location
marido,person
loja,organization
ilícitos,person
YouTube,organization
Facebook,organization
Indivíduo,person
Av,organization
Traficantes,person
moradores,person
salão,location
terreno,location
lugar,location
vagabundos,person
casa,location
traficantes,person
moradores,person
marechal,person
Hermes,person
bandidos,person
favela,location
wesley,person
casa,location
mãe,person
primo,person
policial,person
Renato,person
sobrinho,person
policial,person
UPP,organization
Clayton,person
familiar,person
todos,person
rua,location
pm,person
polícia,organization
favela,location
ninguém,person
pm,person
traficantes,person
área,location
comandante,person
batalhão,organization
Deus,person
comandante,person
batalhão,organization
marechal,person
Hermes,person
favela,location
rua,location
rua,location
todos,person
polícia,organization
wesley,person
casa,location
mãe,person
ninguém,person
moradores,person
favela,location
rua,location
comandante,person
batalhão,organization
comunidade,person
Emanuel,person
Homem,person
outro,person
casa,location
Aki,person
comunidade,person
Chacrinha,location
Jacarepaguá,location
mercado,location
creche,organization
entregadores,person
mercado,location
crianças,person
creche,organization
pirata,person
pirata,person
homem,person
rua,location
Todos,person
região,location
moradores,person
morador,person
chefe,person
Anderson,person
Barreiro,person
Ronie,person
Rinite,person
filhos,person
Barreiro,person
Tomie,person
usuários,person
local,location
casa,location
família,person
pessoas,person
pessoas,person
bar,location
Pantanal,location
padaria,location
barqueiros,person
localidade,location
rua,location
rua,location
traficantes,person
rua,location
moradores,person
rua,location
polícia,organization
rua,location
crianças,person
moradores,person
rua,location
Miliciano,person
Polícia,organization
chefe,person
outro,person
comunidade,location
papa,person
moradores,person
delegacia,organization
comunidade,person
rua,location
esquina,location
Largo,location
comunidade,person
igrejinha,location
Eu,person
Homens,person
SAEM,person
CASA,location
USUARIO,person
SAEM,person
CAFUBÁ,location
mulheres,person
TRAFICANTES,person
Bar,location
assaltar,person
hospital,location
bairro,location
hospital,location
assaltou,person
hospital,location
crianças,person
senhoras,person
usuários,person
criança,person
Local,location
favela,location
comunidade,location
Deus,person
bandidos,person
moradores,person
moradores,person
polícia,organization
marginais,person
Solicito,person
meliantes,person
rua,location
ES,location
Homens,person
campo,location
condomínio,location
Luz,person
Light,organization
Maconha,person
polícia,organization
Petrópolis,location
praça,location
Homem,person
estudante,person
traficante,person
Fernando,person
portador,person
favela,location
Tijuca,location
domicílio,location
moradores,person
traficantes,person
ruas,location
esquina,location
esquina,location
bairro,location
empresa,organization
UNIQBAN,organization
rua,location
calçada,location
moradores,person
bairro,location
região,location
empresa,organization
local,location
Campo,location
jardim,location
moradora,person
kitnet,organization
Traficantes,person
polícia,organization
polícia,organization
comunidade,location
jardim,location
colégio,organization
polícia,organization
rua,location
