,Text,Location,Org,Person
0,Trafico de drogas perturbando moradores e incrível como a policia não vem aqui uma meia dúzia de molekes com armas velhas enferrujadas perturbando moradores rua sem saída por favor peça ao pessoal do 12Ëdar uma dura aqui na rua 21 no final da rua no engenho do mato  Tem uma moto popi amarela que do gerente da boca ele anda livremente aqui com um revolver na cintura intimidando todos e um muleke magrinho mais ou menos 1.70 branco cabelo baixinho preto eles ficam muito na casa numero 12 da rua 21 (final da rua e mais afrente no final da rua se costumam começar o movimento as 11.00hs,"Locais mencionados no texto:

- Rua sem saída, na rua 21, final da rua, no Engenho do Mato.
- Casa número 12, na rua 21 (final da rua e mais afrente).
- Local onde costumam iniciar o movimento às 11h.","Organizações: 
1) Traficantes de drogas 
2) Polícia (mencionada como ausente) 
3) Possível facção criminosa (referido como ""pessoal do 12"")","As pessoas identificadas no texto são:
- Traficantes de drogas (descritos como ""uma meia dúzia de moleques com armas velhas enferrujadas"")
- Moradores incomodados com a situação
- Policiais que ainda não agiram
- O gerente da boca de fumo (responsável pelo tráfico de drogas) que anda com um revólver na cintura
- Um adolescente branco, magrinho, de aproximadamente 1,70m de altura e cabelo preto
- Os moradores da casa número 12 da rua 21"
1,"Venho, novamente, relatar que há no nº. 51 da Rua Bias Fortes pessoas consumindo e vendendo drogas. Já veio uma viatura descaracterizada no local, mas os drogados/ traficantes continuam no mesmo local. Estão agora mesmo consumindo drogas no mesmo local.Casa verde entre uma igreja e uma clinica.","Locais identificados no texto:
1) Rua Bias Fortes, número 51
2) Casa verde (não especificado o endereço)
3) Igreja (não especificado o endereço)
4) Clínica (não especificado o endereço)","As organizações identificadas no texto são: 
- uma igreja;
- uma clínica.","1. Remetente (não identificado no texto)
2. Pessoas consumindo e vendendo drogas no nº. 51 da Rua Bias Fortes (não identificadas individualmente)
3. Policiais em uma viatura descaracterizada (não identificados individualmente)
4. Drogados/Traficantes no mesmo local (não identificados individualmente)
5. Casa verde entre uma igreja e uma clínica (localização não identificada por pessoa específica)"
2,"Boa tarde, bandidos colocaram a "" boca"" dentro do terreno de moradores ( os moradores não tem nada a ver com isso) trata se de um corredor no endereço da rua javata 473. Anchieta. A boca fica no portao social que não fecha. Este endereço também serve de rota de fuga quando ha operação policial pois tem frente para rua javata e a saída de fundos para rua himalaia. Eles escondem armas e drogas neste quintal quando fogem da polícia. Há criancas e adolescentes inocentes no local. ","Locais mencionados no texto:

- Rua Javata 473, Anchieta: Endereço onde está localizado o terreno dos moradores mencionados.
- Rua Javata: Rua onde está localizado o portão social da propriedade mencionada.
- Rua Himalaia: Rua que faz parte da rota de fuga utilizada pelos bandidos quando ocorrem operações policiais.","No texto não são mencionadas organizações específicas. O texto descreve a presença de bandidos no local, que utilizam o terreno para esconder armas e drogas, além de usá-lo como rota de fuga durante operações policiais. Não há menção de organizações criminosas específicas envolvidas.","- Bandidos
- Moradores
- Polícia
- Crianças e adolescentes inocentes"
3,"Todas as sextas feiras tem baile funk , começar meia noite,todas as sexta é um inferno","- Baile funk (local onde ocorre o evento)
- Meia noite (horário de início do baile funk)
- Sexta-feira (dias em que ocorre o baile funk, mencionado duas vezes)","Não é possível identificar organizações específicas no texto fornecido, pois trata-se apenas de uma afirmação genérica sobre a ocorrência de bailes funk nas sextas-feiras, sem mencionar eventos ou empresas específicas envolvidas na organização dos bailes.","Não é possível identificar as pessoas específicas mencionadas no texto, uma vez que não são fornecidos nomes ou características específicas."
4,"Atenção policiais da área do 9 Bpm, se quiserem pegar o wesley vulgo russinho da favela do muquiço, e só ficar aqui na travessa Santo António em marechal Hermes. Ele vem buscar o comparsa dele de nome Emanuel  todos os dias a partir das 15h no máximo as 20h, para formarem na boca de fumo. Isso é todo dia. Estou mandando a foto dele. Observando: O wesley e o que está de camisa branca e bermuda preta na foto.","Locais identificados: 
1. 9 Bpm 
2. Favela do Muquiço 
3. Travessa Santo Antônio 
4. Marechal Hermes 
5. Boca de fumo","No texto citado, não há menção explícita de organizações, apenas de indivíduos. No entanto, é possível inferir a presença de uma possível organização criminosa envolvida com o tráfico de drogas, mencionado na frase ""formarem na boca de fumo"", que se refere à atividade de comércio ilegal de entorpecentes.","As pessoas mencionadas no texto são:

1. Wesley (também conhecido como Russinho da favela do Muquiço) - indivíduo buscando o comparsa todos os dias para formarem na boca de fumo;
2. Emanuel - comparsa de Wesley que é buscado todos os dias para formarem na boca de fumo."
5,Tráfico na esquina de Rua Cristalina com Formosa em Vila Zulmira éden São João de Meriti. DROGAS ESCONDIDAS EM TELHAS NO UTILIZADAS EM FRENTE DA IGREJA EM CONSTRUÇãO NA RUA FORMOSA ENTRE CRISTALINA E RUA MORRINHOS.,"- Rua Cristalina
- Rua Formosa
- Vila Zulmira
- São João de Meriti
- Rua Morrinhos","As organizações não são mencionadas no texto. O texto descreve uma situação de tráfico de drogas em uma esquina específica de São João de Meriti, com drogas sendo escondidas em telhas em frente a uma igreja em construção. Não há informações sobre organizações ou grupos envolvidos nessa prática.",No texto fornecido não há menção específica de pessoas envolvidas no tráfico de drogas ou escondendo drogas em telhas na esquina entre Rua Cristalina e Formosa em Vila Zulmira em São João de Meriti.
6,"Os bandidos do morro dona marta estão pesadão com fuzis como AK e pistolas, e quando os policiais saem em patrulha eles sobem nas lages e ficam lá até saírem, o ponto preferencial e na Lage de uma crente ao lado dá casa de um morador conhecido na comunidade como Tião belo, peço que sejam usados binóculos e helicópteros para os observar pois eles dão muito mole se escondendo nas lages a crente deixou eles ficarem quando a coisa fica séria eles entram na casa dela, eu moro na comunidadea mais de trinta anos e não admito isso eles passam o tempo todo fumando maconha e jogando sujeiras no meu quintal, toda a comunidade está estarrecida porém não podem fazer nada, por favor me ajudem!!!","Locais mencionados no texto:

- Morro Dona Marta
- Lages (possivelmente referindo-se ao telhado ou terraço plano de uma casa)
- Casa de um morador conhecido como Tião Belo
- Comunidade (não especificado)

Não é possível identificar o local exato da comunidade mencionada no texto.","No texto, são mencionadas as seguintes organizações:

- Bandidos do morro Dona Marta (referente aos criminosos armados presentes no morro)
- Policiais (referente aos agentes de segurança que realizam patrulhas)
- Comunidade (referente aos moradores da região)
- Crente (referente à pessoa religiosa mencionada que permite que os bandidos se escondam em sua casa)","No texto mencionado, os indivíduos identificados são:

1. Bandidos do morro Dona Marta
2. Moradores da comunidade, incluindo um indivíduo conhecido como Tião Belo
3. Policiais em patrulha
4. Uma crente, cuja casa é utilizada pelos bandidos para se esconder
5. O autor do texto, que mora na comunidade há mais de trinta anos"
7,Estao traficando no bairro no meio de crianças os pms vem eles saem e valtam para o mesmmo lugar,"No texto mencionado, são identificados dois locais:

1) Bairro - Local onde está ocorrendo o tráfico de drogas no meio de crianças.
2) Mesmo lugar - Local para onde os traficantes retornam após a chegada dos policiais militares (PMs).","Não há informações suficientes para identificar organizações específicas neste texto. O texto menciona a presença de traficantes no bairro e a possível intervenção da polícia militar, mas não fornece detalhes sobre alguma organização criminosa específica.",Não é possível identificar as pessoas no texto com base nas informações fornecidas.
8,Trafico de drogas. Vagabundos fogem pelos fundos que da num campo de futebol. Há armas. Mulheres dos vagabundos guardam as drogas,"No texto mencionado, os possíveis locais identificados são:

1. Campo de futebol: onde os vagabundos fogem pelos fundos.
2. Não especificado: local onde as mulheres dos vagabundos guardam as drogas.","Não é possível identificar organizações específicas apenas com base nas informações fornecidas no texto, pois ele não fornece informações suficientes para determinar a existência ou identidade de organizações envolvidas no tráfico de drogas.","No texto, as pessoas citadas são:
- Vagabundos
- Mulheres dos vagabundos"
9,Trafico intenso de drogas. Vagabundos fogem pelo campo de futebol que fica atras da casa. Possuem armas e drogas. Mulheres dos vagabundos envolvidas,"No texto mencionado, os locais identificados são: 
1. Campo de futebol (localizado atrás da casa) - mencionado como uma rota de fuga utilizada pelos vagabundos.
2. Casa - local onde ocorre a fuga dos vagabundos e onde são encontradas armas e drogas.","Não é possível identificar organizações específicas com base na informação fornecida. O texto menciona apenas vagabundos envolvidos no tráfico de drogas, fugindo através de um campo de futebol e carregando armas e drogas. Não há informações suficientes para identificar organizações específicas envolvidas nesses atos.","No texto mencionado, as pessoas identificadas são:

- Vagabundos fugindo pelo campo de futebol
- Mulheres dos vagabundos envolvidas"
