assunto;relato
Tráfico de drogas/Armas;Trafico de drogas perturbando moradores e incrível como a policia não vem aqui uma meia dúzia de molekes com armas velhas enferrujadas perturbando moradores rua sem saída por favor peça ao pessoal do 12Ëdar uma dura aqui na rua 21 no final da rua no engenho do mato  Tem uma moto popi amarela que do gerente da boca ele anda livremente aqui com um revolver na cintura intimidando todos e um muleke magrinho mais ou menos 1.70 branco cabelo baixinho preto eles ficam muito na casa numero 12 da rua 21 (final da rua e mais afrente no final da rua se costumam começar o movimento as 11.00hs
Tráfico de drogas/Armas;Venho, novamente, relatar que há no nº. 51 da Rua Bias Fortes pessoas consumindo e vendendo drogas. Já veio uma viatura descaracterizada no local, mas os drogados/ traficantes continuam no mesmo local. Estão agora mesmo consumindo drogas no mesmo local.Casa verde entre uma igreja e uma clinica.
Tráfico de drogas/Armas;"Boa tarde, bandidos colocaram a "" boca"" dentro do terreno de moradores ( os moradores não tem nada a ver com isso) trata se de um corredor no endereço da rua javata 473. Anchieta. A boca fica no portao social que não fecha. Este endereço também serve de rota de fuga quando ha operação policial pois tem frente para rua javata e a saída de fundos para rua himalaia. Eles escondem armas e drogas neste quintal quando fogem da polícia. Há criancas e adolescentes inocentes no local. "
Tráfico de drogas/Armas;Todas as sextas feiras tem baile funk , começar meia noite,todas as sexta é um inferno
Tráfico de drogas/Armas;Atenção policiais da área do 9 Bpm, se quiserem pegar o wesley vulgo russinho da favela do muquiço, e só ficar aqui na travessa Santo António em marechal Hermes. Ele vem buscar o comparsa dele de nome Emanuel  todos os dias a partir das 15h no máximo as 20h, para formarem na boca de fumo. Isso é todo dia. Estou mandando a foto dele. Observando: O wesley e o que está de camisa branca e bermuda preta na foto.
Tráfico de drogas/Armas;Tráfico na esquina de Rua Cristalina com Formosa em Vila Zulmira éden São João de Meriti. DROGAS ESCONDIDAS EM TELHAS NO UTILIZADAS EM FRENTE DA IGREJA EM CONSTRUÇãO NA RUA FORMOSA ENTRE CRISTALINA E RUA MORRINHOS.
Tráfico de drogas/Armas;Os bandidos do morro dona marta estão pesadão com fuzis como AK e pistolas, e quando os policiais saem em patrulha eles sobem nas lages e ficam lá até saírem, o ponto preferencial e na Lage de uma crente ao lado dá casa de um morador conhecido na comunidade como Tião belo, peço que sejam usados binóculos e helicópteros para os observar pois eles dão muito mole se escondendo nas lages a crente deixou eles ficarem quando a coisa fica séria eles entram na casa dela, eu moro na comunidadea mais de trinta anos e não admito isso eles passam o tempo todo fumando maconha e jogando sujeiras no meu quintal, toda a comunidade está estarrecida porém não podem fazer nada, por favor me ajudem!!!
Tráfico de drogas/Armas;Estao traficando no bairro no meio de crianças os pms vem eles saem e valtam para o mesmmo lugar
Tráfico de drogas/Armas;Trafico de drogas. Vagabundos fogem pelos fundos que da num campo de futebol. Há armas. Mulheres dos vagabundos guardam as drogas
Tráfico de drogas/Armas;Trafico intenso de drogas. Vagabundos fogem pelo campo de futebol que fica atras da casa. Possuem armas e drogas. Mulheres dos vagabundos envolvidas
Tráfico de drogas/Armas;Já fiz outras denúncias e nada até agora foi feito. Na minha Rua meu vizinho de nome Ruan, que já foi preso, está vendendo drogas na casa dele, há um constante movimento de carros e de pessoas estranhas entrando e saindo da casa dele, o movimento aumenta na madrugada. Ele dá varias festas com funks proibidos. Endereço: Rua Julio Salusse, número 121, praça cruzeiro, Rio Bonito, rua asfaltada atrás da quadra do cruzeiro. é um sobrado de 3 andares. Ainda no tijolo. O pai do Ruan faz gatos, coloca instalaçÃµes e fios ilegais. Inclusive policiais militares ja foram acionados, entraram e saíram da casa do Ruan e nada aconteceu.
Tráfico de drogas/Armas;Bom dia, gostaria de denunciar milicianos agindo livremente na comunidade águia de ouro em Inhaúma,peço que por favor investiguem pois a luz do dia eles ficam escondidos,mas ao cair da noite esse grupo de vagabundo fica em vários pontos dá comunidade, inclusive na passarela que passa em cima dá linha do trem!Estou enviando a foto de um miliciano de fuzil em frente a associação da comunidade do guarda,ele está fazendo a segurança do marquinho Catiri que está dentro da associação do guarda...Estou enviando também a foto de uma mulher que faz parte da milicia,mas atua cobrando uma parte da comunidade,mas existem outras três mulheres que também fazem essa função.
Tráfico de drogas/Armas;Transporta drogas como mototaxi 
Tráfico de drogas/Armas;Transportando via mototaxi 
Tráfico de drogas/Armas;Rua 4 jardim bela floresta Magé RJ , rua sem saída , portão preto de garagem , são duas casas , a casa de baixo está tendo Tráfico de drogas e armas ... Larissa o nome dela ..
Tráfico de drogas/Armas;TODOS OS DIAS, DEPOIS DAS 23h OCORREM ASSALTOS AOS MORADORES. SAO TRÁS CARAS ARMADOS COM PISTOLAS QUE FICAM EM FRENTE PONTE DA AMIZADE ASSALTANDO. NOS MORADORES NAO AGUENTAMOS MAIS PEÇO A AJUDA DE VOCÁS POR FAVOR NOS AJUDEM
Tráfico de drogas/Armas;Venda de drogas na esquina de Rua Formosa com cristalina e Rua Morrinhos. 
Tráfico de drogas/Armas;Venda de drogas na beira do rio sarabui do lado da chatuba mesquita na luz do dia e da noite bandido tem olheiro na esquinas sendo do lado nilopolis na rua marechal castelo Branco no final que dar acesso a rua travessa divisa eles corre para mata melhor acesso para pegar eles cerca pela mata e pela rua porque eles corre igual rato. 
Tráfico de drogas/Armas;"Boa noite vai acontecer um baile funk aqui no caju eo chefe do tráfico  ""Bob"" vai está no local e ele está com os seguranças dele em 2 carros um hb20 sedam é um punto vermelho ele está no local conhecido no caju rua da feira"
